Protein1,Protein2
Q9H0D6,Q13620
Q9H0D6,Q13148
Q9H0D6,P68400
Q9H0D6,Q13616
Q9H0D6,Q9Y262
Q9H0D6,Q9NR30
Q9H0D6,P63241
Q9H0D6,Q00839
Q9H0D6,Q9H0E2
Q9H0D6,P19525
Q9H0D6,P09651
Q9H0D6,Q01780
Q9H0D6,P62310
Q13620,P26373
Q13620,P10599
Q13620,P02533
Q13620,P11940
Q13620,O76031
Q13620,P62081
Q13620,Q93009
Q13620,Q09028
Q13620,P35527
Q13620,P11142
Q13620,Q02878
Q13620,Q08380
Q13620,Q9UNS2
Q13620,P09651
Q13620,P50914
Q13620,P04264
Q13620,P62424
Q13620,P52597
Q13620,Q16778
Q13620,P62263
Q13620,Q96HS1
Q13620,P55209
Q13620,P15880
Q13620,P16989
Q13620,P14678
Q13620,P22626
Q13620,Q8TDZ2
Q13620,P06733
Q13620,Q16629
Q13620,Q92945
Q13620,Q15020
Q13620,P35573
Q13620,Q92499
Q13620,P62241
Q13620,P61978
Q8NI27,Q86W42
Q8NI27,Q5JWF2
Q8NI27,P61421
Q8NI27,Q99996
Q8NI27,Q13838
Q8NI27,P06748
Q8NI27,Q9NYF8
Q8NI27,Q9UMN6
Q8NI27,Q13573
Q8NI27,Q15637
Q8NI27,Q5VYK3
Q8NI27,P45954
Q8NI27,Q92552
Q8NI27,P46108
Q8NI27,P82979
Q8NI27,P55265
Q8NI27,Q9BY77
Q8NI27,Q86U42
Q8NI27,Q12888
P62913,Q00839
P62913,Q9UQ80
P62913,P63244
P62913,P26196
P62913,Q13620
P62913,Q9Y5S9
P62913,O00567
P62913,Q92900
P62913,P11142
Q00839,Q9BQG0
Q00839,P62081
Q00839,Q9HC52
Q00839,Q02878
Q00839,Q9Y3T9
Q00839,Q16778
Q00839,Q13151
Q00839,Q9NR30
Q00839,P07910
Q00839,P35268
Q00839,Q8TDN6
Q00839,P62424
Q00839,Q5JTH9
Q00839,P26373
Q00839,Q92552
Q00839,O14920
Q00839,P15880
Q00839,P22626
Q00839,P09651
Q00839,P62263
Q00839,P62269
Q00839,P61978
Q00839,Q07020
Q00839,O00567
Q00839,P62241
Q00839,P39019
Q00839,P18124
Q00839,Q9Y5B9
Q00839,Q12788
Q86VP6,P19525
Q86VP6,Q92945
Q86VP6,Q92900
Q86VP6,Q13435
Q86VP6,Q9H8H2
Q86VP6,P35908
Q86VP6,P61247
Q86VP6,P46783
Q86VP6,P02533
Q86VP6,P46782
Q86VP6,P53992
Q86VP6,P26373
Q86VP6,O75643
Q86VP6,P51571
Q86VP6,P14866
Q86VP6,P62701
Q86VP6,Q96FW1
Q86VP6,P07900
Q86VP6,P17812
Q86VP6,P11940
Q86VP6,Q00839
Q86VP6,P60510
Q86VP6,P24534
Q86VP6,Q7KZF4
Q86VP6,P18077
Q86VP6,Q53GS9
Q86VP6,Q8TDN6
Q86VP6,O60832
Q86VP6,P09622
Q86VP6,P53396
Q86VP6,Q13428
Q86VP6,P61254
Q86VP6,P62829
Q86VP6,Q9GZR7
Q86VP6,O75533
Q86VP6,Q8N3C0
Q86VP6,P27824
Q86VP6,Q96I24
Q86VP6,P08621
Q86VP6,P40939
