Protein1,Protein2,Type
Q9H0D6,Q13620,n
Q8NI27,Q86W42,n
P62913,Q00839,n
Q86VP6,P19525,n
P21796,P12235,n
P19012,Q969G3,n
P35637,P62314,n
Q96A65,Q04917,n
P22695,P42858,n
O75582,P46060,n
P06748,P23396,n
P49721,P04792,n
P22087,Q9BZE4,n
O60825,Q9BY77,n
P11279,Q92542,+
Q99623,P61019,n
Q15046,P08670,n
P55060,P61981,n
Q13011,Q92616,n
P31040,Q99832,n
O14880,Q8N1F7,n
Q99459,P07437,n
P49368,Q99832,n
Q15637,Q00610,n
P02647,Q9BTV4,-
P18124,Q5JTH9,n
P28482,Q96FW1,n
P62993,P06748,n
Q9Y6H1,P24539,n
P40429,P05091,n
P41240,P07900,-
P47755,P19105,n
O75436,P19404,n
P11279,P11717,+
P40429,Q66GS9,n
P56537,P62753,n
Q07021,P55809,n
Q13620,P26373,n
Q6UVK1,Q99523,n
P46781,Q13616,n
P46063,P13010,n
Q13363,P11940,n
A0A6Q8KRG2,Q9HC52,n
Q9UKV3,Q9H307,n
P22087,P06748,n
Q13616,P10599,n
Q13435,O75643,n
P62753,Q7Z2W4,n
O94832,Q13616,n
Q9P2E9,P29692,+
Q7Z2W9,P62753,n
Q8IY17,P23284,n
Q13616,P26373,n
Q9NVP1,P19525,n
P11021,Q16543,n
P11021,P55060,+
Q6PKG0,O00567,n
P11498,P20231,conflicting
P09429,P07355,n
P00441,Q09028,n
Q15233,P61981,n
P40429,P04004,n
Q13620,P10599,n
O75165,Q13573,+
Q9BQG0,O00567,n
Q92597,Q96CW1,n
P11021,Q96FW1,n
Q96FW1,Q92945,n
P11387,P22626,n
P16401,Q4G0J3,n
Q86VP6,Q92945,n
P46063,O00629,n
Q04206,P62263,n
Q08170,Q13616,n
Q9UBN7,Q3ZCQ8,n
Q13347,P09622,n
P02545,Q8N766,conflicting
Q92506,Q8N4T8,-
P14866,Q13616,n
Q8TDN6,P51608,n
P00738,Q9H8H2,n
P46087,P06748,n
Q12874,P42858,n
P01008,Q9H8H2,n
P57729,P51608,conflicting
P16615,Q03518,+
P02545,O43818,n
Q99848,P19525,n
P08559,P56192,n
Q13363,P49257,n
Q08379,Q93034,n
P54920,P27824,n
Q07666,O94776,n
Q66GS9,Q15366,n
Q9Y3B4,P51572,n
P09496,Q13492,n
Q13363,O00567,n
Q96FW1,P14314,n
Q9H9B4,P63000,n
P40429,Q9UQ80,n
O75643,O43290,+
