LFQ intensity Mel11	LFQ intensity Mel13	LFQ intensity Mel3	LFQ intensity Nev8	LFQ intensity Nev11	LFQ intensity Mel12	LFQ intensity Nev12	LFQ intensity Mel10	LFQ intensity Mel8	LFQ intensity Nev14	LFQ intensity Nev5	LFQ intensity Nev7	LFQ intensity Mel4	LFQ intensity Nev2	LFQ intensity Mel9	LFQ intensity Nev10	LFQ intensity Nev4	LFQ intensity Mel14	LFQ intensity Mel1	LFQ intensity Nev9	LFQ intensity Mel2	LFQ intensity Nev13	LFQ intensity Mel5	LFQ intensity Mel6	LFQ intensity Nev1	LFQ intensity Nev3	LFQ intensity Mel7	LFQ intensity Nev6	Library indices	Majority library index	Only identified by site	Reverse	Potential contaminant	Taxonomy IDs	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	iBAQ peptides	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id
13.6346483230591	18.1661930084229	18.2969245910645	16.6459674835205	16.1705322265625	17.3912105560303	16.3770408630371	17.7000865936279	17.2483158111572	16.5276298522949	15.5025520324707	17.3068809509277	17.1140060424805	18.0160140991211	16.5053768157959	13.1701374053955	16.847204208374	18.0755634307861	16.3915634155273	16.5481605529785	16.9703979492188	12.1941223144531	17.4244785308838	16.8399658203125	15.375039100647	18.9627380371094	18.5215625762939	16.6610813140869	0	0				9606	6	6	6	39.7	39.7	39.7	14.45	0	11.48	8252000	7	119	A0A024QZ42;O75340;O75340-2;H0Y9X3;A0A087WZ38	A0A024QZ42;O75340;O75340-2	Programmed cell death protein 6	PDCD6	0
17.363245010376	17.5547981262207	18.1872272491455	17.8501377105713	17.4067363739014	17.0517616271973	17.3957347869873	19.550952911377	17.3646125793457	17.965389251709	16.7531642913818	17.9440937042236	16.8822612762451	18.735424041748	17.3832149505615	18.2251033782959	18.146936416626	17.6562023162842	17.3374309539795	17.8074436187744	16.6222801208496	13.4215393066406	17.6853103637695	17.4439468383789	17.2037105560303	18.0782241821289	17.9512844085693	17.4915409088135	0	0				9606	6	6	5	25	25	22.6	38.124	0	13.592	12130000	19	97	A0A2R8YD12;A0A024QZX5;A0A087X1N8;P35237;A0A2R8Y6A7	A0A2R8YD12;A0A024QZX5;A0A087X1N8;P35237;A0A2R8Y6A7	Serpin B6	SERPINB6	2
15.8140821456909	16.6102180480957	17.2361259460449	16.4484710693359	16.0511875152588	17.120096206665	15.7613172531128	17.2325706481934	15.8310842514038	15.7029027938843	12.5851716995239	16.4470024108887	16.8112735748291	17.0744132995605	16.804988861084	16.0595760345459	17.0258312225342	16.6248531341553	15.638011932373	16.1635112762451	16.1564197540283	12.598349571228	17.7028617858887	17.4458065032959	13.1390552520752	18.3015766143799	16.5303153991699	15.9431562423706	0	0				9606	19	19	2	16.1	16.1	1.7	141.45	0	40.423	7325300	66	237	Q00341;A0A024R4E5;H0Y394;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JHZ8;H7BZC3;C9JES8;C9JK79;C9JHS7;C9JT62;C9JQ82;C9JHN6;H7C2D1;C9JEJ8;C9JBS3;C9JMQ6	Q00341;A0A024R4E5;H0Y394;H7C0A4	Vigilin	HDLBP	4
13.5714025497437	16.6465301513672	17.237621307373	16.2053165435791	15.8808269500732	16.8655643463135	15.7406244277954	17.8814849853516	15.6062898635864	16.1555099487305	15.3068447113037	16.2862873077393	16.1934680938721	16.4030628204346	17.325532913208	16.8840503692627	17.2104816436768	16.9448947906494	14.8552093505859	16.2540130615234	15.0177221298218	12.5542755126953	16.4727382659912	15.9424457550049	14.5818481445313	17.2978649139404	16.4225254058838	15.6095247268677	0	0				9606	14	13	8	23.5	21.9	13.1	61.927	0	25.736	6246400	29	149	A0A024R571;Q9H4M9;C9JC03;C9J2Z4;C9JIJ3;C9IZH1;C9JDQ8	A0A024R571;Q9H4M9;C9JC03;C9J2Z4	EH domain-containing protein 1	EHD1	5
12.3192758560181	17.4963073730469	17.1215133666992	16.5669898986816	16.5725078582764	17.4211120605469	16.6366519927979	18.136209487915	16.3125286102295	16.8152828216553	15.597993850708	16.6245670318604	17.198637008667	17.1665363311768	16.3759212493896	17.0496349334717	17.1357097625732	16.8737564086914	13.3520364761353	16.6927509307861	16.5762767791748	11.7229423522949	17.3254451751709	17.1355094909668	16.1518497467041	17.9994831085205	17.2485942840576	12.42995262146	0	0				9606	7	7	7	40.6	40.6	40.6	25.898	0	16.524	5852700	13	108	A0A024RA52;P25787;A0A7I2V2H3;A0A7I2YQP7;C9JCK5;H3BT36	A0A024RA52;P25787;A0A7I2V2H3;A0A7I2YQP7;C9JCK5	Proteasome subunit alpha type;Proteasome subunit alpha type-2	PSMA2	7
13.4446029663086	16.6538238525391	18.0546264648438	16.0087795257568	13.2968254089355	16.2545852661133	12.2730178833008	15.9153890609741	12.649621963501	13.350658416748	12.9242744445801	13.8428726196289	15.6289863586426	17.2387409210205	13.0315923690796	17.7786674499512	17.4294719696045	15.8374805450439	15.7572860717773	16.8838119506836	13.0816440582275	13.2108764648438	16.2248497009277	16.2474822998047	12.4446744918823	18.2252445220947	16.5453872680664	16.6957454681396	0	0				9606	4	4	3	19.9	19.9	13.9	18.919	0	9.4646	3757000	9	66	A0A024RBT2;Q9NR28-2;Q9NR28;Q9NR28-3;H7BZQ7;H7BZK7	A0A024RBT2;Q9NR28-2;Q9NR28;Q9NR28-3	Diablo homolog, mitochondrial	DIABLO	8
14.7016859054565	15.4743394851685	15.5188684463501	12.6868724822998	12.2566566467285	14.5503263473511	13.1291379928589	15.7161493301392	13.013578414917	13.3344202041626	12.3488941192627	13.6257638931274	12.5244083404541	12.9975938796997	15.1379919052124	13.8764791488647	13.9028615951538	15.2257719039917	12.3581295013428	13.6084690093994	15.5588092803955	12.3181076049805	16.0045719146729	15.9426975250244	12.378870010376	16.0685482025146	16.1733646392822	12.9417858123779	0	0				9606	2	2	2	7.4	7.4	7.4	34.952	0.0005997	4.7885	773060	9	40	E9PRM7;A0A0J9YWM3;A0A024RCG2;Q96BI1	E9PRM7;A0A0J9YWM3;A0A024RCG2;Q96BI1	Solute carrier family 22 member 18	SLC22A18	9
15.9291429519653	16.563419342041	16.7892780303955	15.5559673309326	12.281078338623	16.6969680786133	14.4094572067261	17.4434623718262	14.9747734069824	14.8481826782227	13.9354410171509	15.178936958313	16.5059051513672	17.1771850585938	16.1784515380859	15.8188819885254	16.1730327606201	17.1073799133301	15.5876607894897	16.0208492279053	15.5476179122925	12.7514238357544	17.2395801544189	17.1651630401611	14.8660717010498	17.2619667053223	17.3964881896973	15.9304599761963	0	0				9606	6	6	6	6.5	6.5	6.5	122.34	0	14.347	5042400	32	115	P46379-3;P46379;P46379-2;A0A7I2V508;A0A0G2JK23;A0A024RCR6;A0A7P0MQS5;P46379-5;P46379-4;A0A0G2JL47;X6REW1;A0A0G2JJM1;F6S6P2;F6U1F2;F6UR09;F6X9W3;F6U341;F6WML8;A0A1B0GX79;A0A0G2JJR8;A0A7I2V3H1;F6XTU0;F6VEM6	P46379-3;P46379;P46379-2;A0A7I2V508;A0A0G2JK23;A0A024RCR6;A0A7P0MQS5;P46379-5;P46379-4;A0A0G2JL47;X6REW1;A0A0G2JJM1;F6S6P2	Large proline-rich protein BAG6	BAG6;BAT3	10
13.7895555496216	14.0284748077393	13.8246164321899	12.8131437301636	16.097620010376	13.7892589569092	12.4262208938599	13.8266725540161	17.2140922546387	17.5081977844238	17.3434295654297	16.6451244354248	13.9555158615112	18.0398178100586	15.668719291687	17.3984928131104	17.5854911804199	13.8695631027222	12.9389352798462	16.5259647369385	13.1722831726074	11.0728855133057	15.7284250259399	16.512523651123	16.5177764892578	17.0833759307861	15.8436508178711	15.7059297561646	0	0				9606	2	2	2	16.7	16.7	16.7	12.957	0.00057837	4.6881	3650200	5	43	A0A075B6P5;A0A087WW87;P01615;P01614;A2NJV5;A0A0A0MRZ7;A0A075B6S6;A0A075B6S2;P06310	A0A075B6P5;A0A087WW87;P01615;P01614;A2NJV5;A0A0A0MRZ7;A0A075B6S6;A0A075B6S2;P06310	Ig kappa chain V-II region FR;Ig kappa chain V-II region Cum;Ig kappa chain V-II region RPMI 6410	IGKV2D-28;IGKV2-40;IGKV A18;IGKV2D-26;IGKV2D-30;IGKV2D-29	16
12.8133563995361	17.3361225128174	16.8696670532227	13.44127368927	17.2770328521729	16.2768878936768	15.6897525787354	17.3624744415283	12.7760982513428	12.7431468963623	12.4605922698975	15.0957269668579	16.2589893341064	17.4530620574951	15.7400970458984	15.5105791091919	13.3368768692017	16.7607192993164	16.1618804931641	13.177264213562	15.7061452865601	13.8597278594971	16.9304141998291	16.5446014404297	12.694206237793	17.8978805541992	17.339693069458	15.4904432296753	0	0				9606	4	4	4	16.4	16.4	16.4	27.015	0.00041806	7.6788	3707600	12	64	A0A087WTZ5;E9PJ81;Q04323;Q04323-2;E9PRQ7;E9PS08	A0A087WTZ5;E9PJ81;Q04323;Q04323-2;E9PRQ7	UBX domain-containing protein 1	UBXN1	42
